"Country","ISO","Population","PopDensity","IncHIV1","PrevHIV","HDI","Vaccine","ARTCov","MedianAge","LifeExpect","GDPperCapita"
"Afghanistan","AFG",38928300,54.42,10.67567776,18.53833821,0.511,"OPV",10,18.6,64.83,1804
"Angola","AGO",32866300,23.89,106.7926424,3126.479017,0.581,"OPV",28,16.8,61.15,5820
"Albania","ALB",2877800,104.87,0.704429612,1.059594923,0.795,"OPV",44,38,78.57,11803
"Andorra","AND",77265,163.76,13.27174697,113.538272,0.868,"IPV",NA,NA,83.73,NA
"United Arab Emirates","ARE",9890400,112.44,6.582833531,17.85177942,0.89,"OPV",48,34,77.97,67294
"Argentina","ARG",45195800,16.18,149.329272,531.7824346,0.845,"OPV",65,31.9,76.67,18934
"Armenia","ARM",2963230,102.93,12.18538715,52.61592928,0.776,"OPV",48,35.7,75.09,8788
"American Samoa","ASM",NA,NA,7.34044877,42.27528723,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG",97928,231.85,59.95267921,335.8988329,0.778,"OPV",NA,32.1,77.02,21491
"Australia","AUS",25499900,3.2,2.882206208,36.80974086,0.944,"IPV",82,37.9,83.44,44649
"Austria","AUT",9006400,106.75,4.39266496,132.9897518,0.922,"IPV",NA,44.4,81.54,45437
"Azerbaijan","AZE",10139200,119.31,4.591261317,27.64699336,0.756,"OPV",52,32.4,73,15847
"Burundi","BDI",11890800,423.06,104.9874835,1323.868087,0.433,"OPV",86,17.5,61.58,702
"Belgium","BEL",11589600,375.56,7.387813375,171.6737254,0.931,"IPV",NA,41.8,81.63,42659
"Benin","BEN",12123200,99.11,59.10159622,1133.338199,0.545,"OPV",65,18.8,61.77,2064
"Burkina Faso","BFA",20903300,70.15,72.38672381,744.9807506,0.452,"OPV",69,17.6,61.58,1703
"Bangladesh","BGD",164689000,1265.04,2.19467208,6.262389126,0.632,"OPV",NA,27.5,72.59,3524
"Bulgaria","BGR",6948440,65.18,2.282987186,18.31514966,0.816,"IPV",NA,44.7,75.05,18563
"Bahrain","BHR",1701580,1935.91,1.422847361,15.24305556,0.852,"OPV",NA,32.4,77.29,43291
"Bahamas","BHS",393248,39.5,34.68098926,1450.413046,0.814,"OPV",64,34.3,73.92,27718
"Bosnia and Herzegovina","BIH",3280820,68.5,0.310666427,1.359935159,0.78,"OPV",NA,42.5,77.4,11714
"Belarus","BLR",9449320,46.86,8.928841864,271.6949333,0.823,"IPV",64,40.3,74.79,17168
"Belize","BLZ",397621,16.43,96.3352582,828.302165,0.716,"OPV",41,25,74.62,7824
"Bermuda","BMU",62273,1308.82,47.36819941,313.9124343,NA,"IPV",NA,NA,82.59,50669
"Bolivia (Plurinational State of)","BOL",11673000,10.2,65.49554132,149.3981846,0.718,"OPV",69,25.4,71.51,6886
"Brazil","BRA",212559000,25.04,43.38759378,396.3304435,0.765,"OPV",68,33.5,75.88,14104
"Barbados","BRB",287371,664.46,13.65355526,561.8861667,0.814,"OPV",NA,39.8,79.19,16978
"Brunei Darussalam","BRN",437483,81.35,8.964868622,86.5296116,0.838,"IPV",NA,32.4,75.86,71809
"Bhutan","BTN",771612,21.19,41.19016448,90.83775059,0.654,"OPV",42,28.6,71.78,8709
"Botswana","BWA",2351620,4.04,122.2241685,24431.00791,0.735,"OPV",84,25.8,69.59,15807
"Central African Republic","CAF",4829760,7.48,164.3706834,4554.993167,0.397,"OPV",53,18.3,53.28,661
"Canada","CAN",37742200,4.04,0.696257958,180.440108,0.929,"IPV",NA,41.4,82.43,44018
"Switzerland","CHE",8654620,214.24,0.660476504,191.3614719,0.955,"IPV",NA,43.1,83.78,57410
"Chile","CHL",19116200,24.28,9.180354964,161.7339902,0.851,"IPV",69,35.4,80.18,22767
"China","CHN",1439320000,147.67,5.427594819,22.25757477,0.761,"OPV",NA,38.7,76.91,15309
"Côte d'Ivoire","CIV",26378300,76.4,185.8069473,3268.218494,0.538,"OPV",70,18.7,57.78,3601
"Cameroon","CMR",26545900,50.89,183.518568,4291.527563,0.563,"OPV",62,18.8,59.29,3365
"Democratic Republic of the Congo","COD",89561400,35.88,82.59781194,922.2066661,0.48,"OPV",63,17,60.68,808
"Congo","COG",5518090,15.41,402.4199612,3655.606688,0.574,"OPV",24,19,64.57,4881
"Cook Islands","COK",NA,NA,32.5980919,190.5005197,NA,"OPV",NA,NA,NA,NA
"Colombia","COL",50882900,44.22,2.338315836,151.557761,0.767,"OPV",51,32.2,77.29,13255
"Comoros","COM",869595,437.35,1.694382564,13.9381274,0.554,"OPV",57,20.4,64.32,1414
"Cabo Verde","CPV",555988,135.58,44.03813443,804.0114769,0.665,"OPV",98,25.7,72.98,6223
"Costa Rica","CRI",5094110,96.08,6.454793508,79.8009723,0.81,"IPV",64,33.6,80.28,15525
"Cuba","CUB",11326600,110.41,25.55549499,124.686664,0.783,"OPV",77,43.1,78.8,NA
"Cyprus","CYP",875899,127.66,0.149490168,11.37684151,0.887,"IPV",NA,37.3,80.98,32415
"Czechia","CZE",10709000,137.18,0.7318504,6.861422935,0.9,"IPV",NA,43.3,79.38,32606
"Germany","DEU",83783900,237.02,1.605663937,66.09635971,0.947,"IPV",85,46.6,81.33,45229
